PERMNO,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-30,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31
61567,0.09365,-0.040518,-0.035263,0.115072,0.008499,-0.028491,0.035523,0.007978,-0.049862,0.140358,-0.109569,0.057834,-0.096937,-0.026621,0.05955,0.064113,0.011346,0.04294,-0.006306,0.017171,0.064587,0.051362,0.14,-0.020708,0.034068,0.010224,0.090807,0.090464,0.038289,0.0173,-0.067353,0.079654,-0.032444,-0.04249,-0.015351,-0.003654,-0.089242,0.105772,-0.036174,0.055164,0.033421,-0.04158,0.06845,0.075741,0.080706
61621,-0.070964,-0.044279,-0.022609,0.117179,-0.001029,0.034352,0.057124,-0.006665,-0.009904,-0.000323,-0.022272,0.048048,0.050939,0.017437,0.000902,-0.01623,0.003711,-0.023971,0.049839,0.013936,0.059055,0.038505,0.022521,-0.019339,0.089838,-0.01927,0.050672,0.048597,0.034662,0.041162,-0.073797,-0.001435,0.020115,-0.018545,-0.008371,0.010946,-0.004091,0.015606,0.061224,0.070588,0.010013,-0.026155,-0.011479,0.101083,-0.004415
61743,-0.047349,-0.049278,-0.159512,0.269892,-0.021592,-0.004374,0.123462,-0.02542,-0.050669,0.016652,-0.01848,0.07872,0.135525,0.010593,0.077194,0.031086,-0.07807,0.119445,0.141129,0.085349,0.043347,-0.078744,-0.012847,-0.073529,0.18355,-0.034382,0.058704,0.130341,0.060522,0.050312,-0.069745,0.044902,0.039422,0.047265,0.026206,0.044393,-0.060942,0.087984,-0.07372,0.102248,-0.033717,0.065013,0.043052,0.02957,0.041022
61815,0.112128,-0.111356,-0.198732,0.261864,0.103761,-0.040655,0.066532,-0.027814,0.001331,0.01575,-0.147402,0.004262,0.030771,0.007892,0.054721,0.024809,0.03147,0.040818,0.059465,0.030522,0.04358,-0.020491,0.020214,0.041457,0.040806,-0.014722,0.090835,0.120281,-0.062592,-0.030325,-0.084863,0.105407,0.033159,0.010417,0.006548,0.074788,-0.139298,0.084975,-0.052398,-0.15433,-0.146625,-0.035584,0.006536,-0.006912,0.035359
61946,-0.006979,0.036312,0.001307,0.100196,-0.017651,0.025344,0.00536,-0.016291,0.021011,-0.015509,-0.013935,-0.000311,-0.009947,0.0854,0.040058,0.005623,0.008107,0.018212,0.110347,0.040149,0.058908,0.064714,0.020473,0.026964,0.088205,-0.087653,0.038317,0.017248,-0.00138,0.044559,0.044182,0.041401,0.016576,0.001735,0.005368,0.064505,-0.141391,0.02675,-0.108878,0.143066,-0.00603,-0.01796,-0.054299,0.021431,-0.007673
61955,-0.006813,-0.373761,-0.317402,0.093357,-0.120484,-0.001887,-0.124764,0.068304,-0.06953,0.125275,0.108643,0.30605,-0.087194,-0.08806,0.01473,-0.270968,-0.019912,-0.004515,-0.027211,-0.051282,-0.007371,-0.002475,0.156327,0.008584,0.07234,-0.045635,0.382536,0.279699,0.260869,-0.121156,0.271474,0.263553,0.154455,-0.048599,-0.08774,0.116601,-0.231858,0.15361,-0.153795,-0.325728,-0.4014,0.302144,-0.269461,0.360656,-0.024096
62092,-0.066781,-0.085871,-0.078099,-0.007306,-0.060076,-0.048254,0.17634,0.070321,-0.001943,-0.012948,-0.092902,0.030903,0.072433,0.030178,0.028073,0.037906,0.04078,0.00598,0.131076,0.023011,0.038482,0.054778,0.094447,-0.039864,0.076569,-0.025025,0.039063,0.061096,0.031397,0.105602,0.034037,0.08164,-0.033323,-0.051896,0.025526,0.010606,0.029661,-0.010617,0.013643,-0.033936,0.099685,-0.029778,-0.000639,0.038256,0.034538
62148,-0.062929,-0.102157,-0.149043,0.189609,-0.017109,-0.02994,0.07075,-0.062971,0.024274,0.035781,-0.056528,0.070369,0.025939,-0.014821,-0.076135,-0.013494,-0.027846,-0.001518,0.116574,0.047662,0.07367,-0.001624,0.031313,-0.080127,0.069858,-0.002015,0.045916,0.012432,0.052187,0.055005,-0.064651,0.035303,0.045471,-0.025889,0.047484,0.047959,-0.028887,0.038436,0.037205,0.111354,0.028628,-0.007125,-0.080872,0.035135,-0.034684
62308,-0.055426,-0.053974,-0.087673,0.177567,0.040557,0.018784,0.055312,0.060653,0.029108,-0.01986,-0.042086,0.083369,-0.012859,0.028744,0.003322,-0.011879,0.027673,-0.006155,0.081092,0.008616,0.064246,0.040803,0.03931,0.009766,0.093798,-0.03081,0.050225,0.009399,0.043096,0.030526,-0.038388,0.031404,0.015353,0.015121,0.017817,0.012233,-0.034302,0.034319,-0.039963,0.013685,0.014917,0.010171,-0.075688,0.063511,0.033897
62341,0.21431,-0.344438,-0.185636,0.34657,0.284948,0.046498,-0.113358,0.045294,0.139828,-0.072796,-0.277697,-0.012882,0.068516,0.062214,0.136543,-0.042997,0.185332,-0.074415,0.115026,0.259519,0.062822,-0.126488,0.182217,0.005665,0.073427,0.038364,0.037644,0.138898,-0.131249,-0.096588,-0.063134,0.246089,0.002092,0.022647,0.008167,-0.016202,-0.141014,0.107752,-0.163089,-0.130642,-0.325023,0.398509,0.113157,0.124946,0.045666
62498,0.006399,-0.08548,-0.075274,0.052561,-0.008747,-0.015053,0.07141,0.027668,0.022356,0.059958,0.064588,0.056276,-0.010497,-0.048815,0.120803,0.018655,0.00297,0.013326,0.084931,0.020436,0.07481,-0.013705,0.073442,0.024945,0.052519,0.002576,0.112914,0.1774,0.032472,-0.017228,-0.030779,-0.03941,-0.033567,-0.01294,-0.029737,0.002138,-0.031532,0.065767,0.030624,0.147453,0.014829,0.023649,-0.071751,0.109714,0.100329
63079,0.082778,-0.261673,-0.340514,0.362487,0.167827,0.024503,-0.063995,0.178177,-0.094373,-0.180583,-0.21722,-0.233098,0.053947,-0.012484,-0.115044,-0.065714,0.022936,0.038864,0.169784,0.055351,-0.058275,-0.264851,0.090909,-0.08179,0.065546,0.05205,0.092954,0.072702,0.002558,0.007653,-0.077215,0.240055,0.022124,0.08658,-0.198207,0.135404,-0.328228,0.026059,-0.231746,-0.371901,-0.381579,-0.111702,0.005988,0.220238,-0.112195
63132,0.069519,-0.156364,-0.192888,-0.047396,-0.161177,0.065163,0.133333,0.056747,-0.220694,-0.008403,-0.234746,0.086379,0.005097,0.488844,-0.073569,0.002941,0.148827,0.031908,-0.008658,-0.033063,0.276774,0.237494,-0.206615,0.094184,0.074318,0.144921,0.09675,-0.133194,0.019308,0.176401,-0.043945,-0.024561,-0.098561,-0.031524,0.046147,0.029145,0.058171,0.123327,-0.117514,-0.036483,-0.057175,0.015261,0.027294,-0.041972,0.040997
63335,0.067585,-0.22311,-0.431962,0.377437,0.110212,-0.118397,-0.078512,0.116592,-0.116466,-0.104545,-0.055838,0.071237,0.008783,-0.042289,0.011688,-0.15276,0.095455,0.004149,0.044077,0.151715,-0.054983,-0.145455,-0.009929,-0.051576,0.024169,-0.00295,0.110947,0.118509,-0.140476,0.109418,0.046192,0.360382,0.135965,0.155985,0.062124,0.103145,-0.161346,0.045547,-0.088427,-0.345221,-0.342048,-0.082781,-0.252708,0.285024,0.018797
